usuario,grupo,EntGraf,password
usu_F_28255,GR_F,N,29C13A73E
usu_B_73874,GR_B,Y,F893470B6
usu_C_39071,GR_C,Y,13974C8BBD
usu_D_55890,GR_D,N,EBA42D8A8
usu_A_99119,GR_A,Y,12A0B6A196
usu_A_44414,GR_A,Y,B4C2A7D7
usu_F_54997,GR_F,N,14722773E6
usu_F_60928,GR_F,N,331D3DA21
usu_F_14161,GR_F,N,150C4C1DEF
usu_B_50025,GR_B,Y,1E53B88FF
usu_B_22084,GR_B,Y,167F9D0FEE
usu_A_35889,GR_A,Y,E01C2D0CD
usu_D_35895,GR_D,N,DD48292FF
usu_B_68428,GR_B,Y,7D182DF65
usu_B_90587,GR_B,Y,59622415A
usu_C_72222,GR_C,Y,1007B943FF
usu_B_81327,GR_B,Y,103CE3CBF4
usu_D_95737,GR_D,N,D886481D7
usu_A_53211,GR_A,Y,261828E1D
usu_C_88116,GR_C,Y,31B7783D7
usu_B_54713,GR_B,Y,5E6D9A4C2
usu_B_10919,GR_B,Y,12808F556C
usu_B_95160,GR_B,Y,107BF12F7
usu_D_77721,GR_D,N,A5C053170
usu_F_18367,GR_F,N,E66A496BC
usu_F_56398,GR_F,N,107DEDC304
usu_A_52693,GR_A,Y,32DCECB41
usu_E_63749,GR_E,N,98BCB3EC0
usu_C_60114,GR_C,Y,C0DC6AC81
usu_F_37493,GR_F,N,873ED450
usu_F_80013,GR_F,N,16A7C90224
usu_A_40385,GR_A,Y,157DE761FF
usu_F_39037,GR_F,N,1289087421
usu_A_40067,GR_A,Y,FEB016102
usu_E_34465,GR_E,N,573E62102
usu_A_12638,GR_A,Y,D09386C7E
usu_C_13810,GR_C,Y,B105E4A8
usu_A_97040,GR_A,Y,20BA9E84C
usu_B_76077,GR_B,Y,44B39AA7
usu_F_68022,GR_F,N,9BE83DD93
usu_F_35819,GR_F,N,F9E2A1302
usu_C_52948,GR_C,Y,BC0A2222C
usu_E_72913,GR_E,N,7C3D8F83F
usu_D_82356,GR_D,N,1640911D8A
usu_C_98606,GR_C,Y,104E2A9C75
usu_A_32309,GR_A,Y,5F1BF2D0D
usu_A_90117,GR_A,Y,112F53903D
usu_B_46156,GR_B,Y,E3DF5CDA7
usu_E_39462,GR_E,N,EDF1FC2C1
usu_C_30870,GR_C,Y,1C6808E2A
usu_D_12237,GR_D,N,24D20DE0D
usu_F_73111,GR_F,N,3FC047E88
usu_F_61090,GR_F,N,6D19805B3
usu_D_89183,GR_D,N,BDAAB6871
usu_E_75702,GR_E,N,36F8F0840
usu_E_66125,GR_E,N,AD64C69E7
usu_A_15462,GR_A,Y,4831E9AA9
usu_B_45394,GR_B,Y,217E48FCA
usu_E_74991,GR_E,N,56390DB88
usu_A_27114,GR_A,Y,19B0DD206
usu_E_25276,GR_E,N,115BE85C0A
